#JD Flux Flux_err
2458326.5994 1.0004316 0.00045
2458326.6203 0.99948079 0.00045
2458326.6411 0.99973781 0.00045
2458326.6619 1.0000255 0.00045
2458326.6828 0.99981890 0.00045
2458326.7036 1.0002737 0.00045
2458326.7244 1.0002870 0.00045
2458326.7453 0.99978308 0.00045
2458326.7661 0.99991000 0.00045
2458326.7869 1.0005887 0.00045
2458326.8078 1.0002187 0.00045
2458326.8286 0.99878093 0.00045
2458326.8494 0.99771046 0.00045
2458326.8703 0.99646308 0.00045
2458326.8911 0.99624917 0.00045
2458326.9119 0.99720552 0.00045
2458326.9328 0.99620567 0.00045
2458326.9536 0.99638017 0.00045
2458326.9744 0.99691543 0.00045
2458326.9953 0.99644132 0.00045
2458327.0161 0.99941199 0.00045
2458327.0369 0.99953288 0.00045
2458327.0578 1.0005824 0.00045
2458327.0786 1.0002187 0.00045
2458327.0994 1.0005446 0.00045
2458327.1203 0.99952433 0.00045
2458327.1411 1.0009331 0.00045
2458327.1619 0.99904610 0.00045
2458327.1828 1.0002594 0.00045
2458327.2036 1.0003896 0.00045
2458327.2244 0.99972796 0.00045
2458327.2453 0.99955807 0.00045
2458327.2661 1.0004979 0.00045
2458327.2869 0.99941420 0.00045
2458327.3078 0.99971134 0.00045
2458327.3286 0.99992848 0.00045
2458327.3494 1.0004052 0.00045
2458327.3703 1.0009031 0.00045
2458327.3911 1.0005849 0.00045
2458327.4119 0.99961220 0.00045
2458327.4328 1.0001635 0.00045
2458327.4536 1.0006557 0.00045
2458327.4744 0.99940297 0.00045
2458327.4953 0.99971612 0.00045
2458327.5161 0.99979971 0.00045
2458327.5369 1.0002600 0.00045
2458327.5578 0.99884260 0.00045
2458327.5786 0.99959709 0.00045
2458327.5994 0.99958285 0.00045
2458327.6203 1.0006924 0.00045
2458327.6411 0.99974023 0.00045
2458327.6620 1.0003166 0.00045
2458327.6828 0.99962982 0.00045
2458327.7036 1.0000609 0.00045
2458327.7245 1.0004752 0.00045
2458327.7453 1.0009357 0.00045
2458327.7661 1.0001369 0.00045
2458327.7870 1.0004093 0.00045
2458327.8078 0.99988338 0.00045
2458327.8286 0.99986873 0.00045
2458327.8703 0.99916979 0.00045
2458327.8911 1.0007456 0.00045
2458327.9120 1.0000784 0.00045
2458327.9328 0.99905435 0.00045
2458327.9536 1.0006592 0.00045
2458327.9745 0.99999206 0.00045
