#JD_UTC,rel_flux_T1,rel_flux_err_T1,AIRMASS
2457624.748600,0.287574,0.000686,-1.000000
2457624.750370,0.289128,0.000686,-1.000000
2457624.752141,0.288211,0.000682,-1.000000
2457624.753912,0.288070,0.000678,-1.000000
2457624.755683,0.288772,0.000682,-1.000000
2457624.757454,0.288115,0.000682,-1.000000
2457624.759213,0.288819,0.000683,-1.000000
2457624.760995,0.288637,0.000681,-1.000000
2457624.762755,0.289623,0.000685,-1.000000
2457624.764525,0.289492,0.000686,-1.000000
2457624.766296,0.289188,0.000681,-1.000000
2457624.768067,0.290315,0.000684,-1.000000
2457624.769838,0.291559,0.000685,-1.000000
2457624.771609,0.290540,0.000684,-1.000000
2457624.773380,0.290631,0.000686,-1.000000
2457624.775162,0.291262,0.000687,-1.000000
2457624.776921,0.292230,0.000692,-1.000000
2457624.778692,0.290983,0.000688,-1.000000
2457624.780463,0.291237,0.000692,-1.000000
2457624.782234,0.292133,0.000692,-1.000000
2457624.784005,0.290371,0.000690,-1.000000
2457624.785775,0.290329,0.000698,-1.000000
2457624.787546,0.290543,0.000696,-1.000000
2457624.789317,0.290872,0.000693,-1.000000
2457624.791088,0.290745,0.000695,-1.000000
2457624.792859,0.291217,0.000700,-1.000000
2457624.794630,0.291145,0.000700,-1.000000
2457624.796400,0.291913,0.000701,-1.000000
2457624.798171,0.291942,0.000707,-1.000000
2457624.799942,0.290375,0.000703,-1.000000
2457624.801725,0.290522,0.000710,-1.000000
2457624.803507,0.291595,0.000712,-1.000000
2457624.805278,0.290828,0.000717,-1.000000
2457624.807049,0.291031,0.000724,-1.000000
2457624.808819,0.291473,0.000716,-1.000000
2457624.810590,0.291221,0.000725,-1.000000
2457624.812361,0.292486,0.000720,-1.000000
2457624.814132,0.292125,0.000724,-1.000000
2457624.815903,0.291102,0.000724,-1.000000
2457624.817674,0.291168,0.000722,-1.000000
2457624.819444,0.290884,0.000722,-1.000000
2457624.821215,0.292822,0.000728,-1.000000
2457624.822986,0.291493,0.000731,-1.000000
