#JD_UTC,rel_flux_T1,rel_flux_err_T1,AIRMASS
2457624.748600,0.108947,0.000240,-1.000000
2457624.750370,0.109256,0.000239,-1.000000
2457624.752141,0.111854,0.000245,-1.000000
2457624.753912,0.114506,0.000249,-1.000000
2457624.755683,0.110713,0.000241,-1.000000
2457624.757454,0.111684,0.000244,-1.000000
2457624.759213,0.112265,0.000245,-1.000000
2457624.760995,0.115037,0.000251,-1.000000
2457624.762755,0.115771,0.000253,-1.000000
2457624.764525,0.113407,0.000249,-1.000000
2457624.766296,0.115473,0.000252,-1.000000
2457624.768067,0.118575,0.000259,-1.000000
2457624.769838,0.120254,0.000262,-1.000000
2457624.771609,0.118165,0.000257,-1.000000
2457624.773380,0.118636,0.000259,-1.000000
2457624.775162,0.119526,0.000261,-1.000000
2457624.776921,0.117307,0.000257,-1.000000
2457624.778692,0.121280,0.000266,-1.000000
2457624.780463,0.117839,0.000259,-1.000000
2457624.782234,0.118675,0.000260,-1.000000
2457624.784005,0.119638,0.000263,-1.000000
2457624.785775,0.116231,0.000259,-1.000000
2457624.787546,0.118703,0.000263,-1.000000
2457624.789317,0.121105,0.000267,-1.000000
2457624.791088,0.119950,0.000266,-1.000000
2457624.792859,0.117337,0.000261,-1.000000
2457624.794630,0.119144,0.000265,-1.000000
2457624.796400,0.117931,0.000262,-1.000000
2457624.798171,0.115441,0.000258,-1.000000
2457624.799942,0.115103,0.000258,-1.000000
2457624.801725,0.113540,0.000256,-1.000000
2457624.803507,0.112611,0.000254,-1.000000
2457624.805278,0.112153,0.000255,-1.000000
2457624.807049,0.111487,0.000255,-1.000000
2457624.808819,0.114916,0.000261,-1.000000
2457624.810590,0.116537,0.000268,-1.000000
2457624.812361,0.118191,0.000269,-1.000000
2457624.814132,0.117796,0.000270,-1.000000
2457624.815903,0.115825,0.000266,-1.000000
2457624.817674,0.116186,0.000266,-1.000000
2457624.819444,0.116873,0.000268,-1.000000
2457624.821215,0.114880,0.000264,-1.000000
2457624.822986,0.114809,0.000266,-1.000000
